"name","id","urlname","country_acronym","state","city","members","lat","lon","timezone"
"R-Ladies San Jose","26203679","rladies-san-jose","cr","","San Jose",662,9.93,-84.08,"America/Costa_Rica"
"R-Ladies Brussels","25492745","rladies-brussels","be","","Brussels",236,50.83,4.33,"Europe/Brussels"
"R-Ladies PDX","25057217","rladies-pdx","us","OR","Portland",261,45.5,-122.69,"America/Los_Angeles"
"R-Ladies Vancouver","26169684","rladies-vancouver","ca","BC","Vancouver",666,49.28,-123.04,"America/Vancouver"
"R-Ladies Chicago","24848073","rladies-chicago","us","IL","Chicago",1349,41.88,-87.62,"America/Chicago"
"R-Ladies CDMX","24820200","rladies-cdmx","mx","","México City",2388,19.43,-99.14,"America/Mexico_City"
"R-Ladies Orlando","24292488","rladies-orlando","us","FL","Orlando",334,28.54,-81.37,"America/New_York"
"R-Ladies Miami","24259185","rladies-miami","us","FL","Miami",1293,25.78,-80.2,"America/New_York"
"R-Ladies Buffalo","24100709","rladies-buffalo","us","NY","Buffalo",39,42.9,-78.88,"America/New_York"
"R-Ladies Cape Town","22790744","rladies-cape-town","za","","Cape Town",705,-33.93,18.46,"Africa/Johannesburg"
"R-Ladies Adelaide","22202405","rladies-adelaide","au","","Adelaide",324,-34.93,138.6,"Australia/Adelaide"
"R-Ladies Chennai","26276685","rladies-chennai","in","","Chennai",633,13.09,80.27,"Asia/Kolkata"
"R-Ladies Pasadena","28280039","rladies-pasadena","us","CA","Pasadena",107,34.15,-118.14,"America/Los_Angeles"
"R-Ladies San Diego","24506595","rladies-san-diego","us","CA","San Diego",669,32.75,-117.17,"America/Los_Angeles"
"R-Ladies Austin","22180445","rladies-austin","us","TX","Austin",656,30.22,-97.75,"America/Chicago"
"R-Ladies Tbilisi","21313292","rladies-tbilisi","ge","","Tbilisi",382,41.72,44.79,"Asia/Tbilisi"
"R-Ladies Budapest","22066895","rladies-budapest","hu","","Budapest",866,47.51,19.08,"Europe/Budapest"
"R-Ladies Ames","21280054","rladies-ames","us","IA","Ames",271,42.03,-93.64,"America/Chicago"
"R-Ladies Dublin","21149852","rladies-dublin","ie","","Dublin",846,53.33,-6.25,"Europe/Dublin"
"R-Ladies Berlin","20977178","rladies-berlin","de","","Berlin",694,52.52,13.38,"Europe/Berlin"
"R-Ladies Barcelona","20851840","rladies-barcelona","es","","Barcelona",703,41.4,2.17,"Europe/Madrid"
"R-Ladies Manchester","21314716","rladies-manchester","gb","18","Manchester",509,53.47,-2.23,"Europe/London"
"R-Ladies Columbus","20600376","rladies-columbus","us","OH","Columbus",948,40.01,-83.02,"America/New_York"
"R-Ladies Nashville","20493986","rladies-nashville","us","TN","Nashville",529,36.17,-86.78,"America/Chicago"
"R-Ladies Istanbul","20394109","rladies-istanbul","tr","","Istanbul",1944,41.01,28.96,"Europe/Istanbul"
"R-Ladies Madrid","20381623","rladies-madrid","es","","Madrid",1887,40.42,-3.71,"Europe/Madrid"
"R-Ladies Melbourne","20378903","rladies-melbourne","au","","Melbourne",2252,-37.81,144.96,"Australia/Melbourne"
"R-Ladies RTP","20317472","rladies-rtp","us","NC","Durham",1008,36,-78.9,"America/New_York"
"R-Ladies London","19474893","rladies-london","gb","17","London",1590,51.52,-0.1,"Europe/London"
"R-Ladies Perth","30375344","rladies-perth","au","","Perth",265,-31.96,115.84,"Australia/Perth"
"R-Ladies La Paz","30375244","rladies-la-paz","bo","","La Paz",345,-16.5,-68.15,"America/La_Paz"
"R-Ladies Montpellier","30339934","rladies-montpellier","fr","","Montpellier",149,43.61,3.87,"Europe/Paris"
"R-Ladies Kathmandu","30017254","rladies-kathmandu","np","","Kathmandu",87,27.71,85.31,"Asia/Kathmandu"
"R-Ladies Des Moines","29929892","rladies-des-moines","us","IA","Des Moines",30,41.6,-93.63,"America/Chicago"
"R-Ladies Iowa City","29865126","rladies-iowa-city","us","IA","Iowa City",129,41.66,-91.53,"America/Chicago"
"R-Ladies Toronto","29862217","rladies-toronto","ca","ON","Toronto",663,43.74,-79.36,"America/Toronto"
"R-Ladies Vienna","29851462","rladies-vienna","at","","Vienna",380,48.22,16.37,"Europe/Vienna"
"R-Ladies Lancaster","29783351","rladies-lancaster","gb","H2","Lancaster",139,54.05,-2.8,"Europe/London"
"R-Ladies Helsinki","29734242","rladies-helsinki","fi","","Helsinki",444,60.17,24.94,"Europe/Helsinki"
"R-Ladies Stockholm","29540437","rladies-stockholm","se","","Stockholm",395,59.33,18.07,"Europe/Stockholm"
"R-Ladies Xalapa","29397372","rladies-xalapa","mx","","Xalapa",525,19.53,-96.92,"America/Mexico_City"
"R-Ladies Edinburgh","29370129","rladies-edinburgh","gb","U8","Edinburgh",660,55.95,-3.22,"Europe/London"
"R-Ladies Salvador","29332380","rladies-salvador","br","","Salvador",267,-12.97,-38.5,"America/Bahia"
"R-Ladies Gainesville","29096058","rladies-gainesville","us","FL","Gainesville",494,29.65,-82.3,"America/New_York"
"R-Ladies Remote","28887085","rladies-remote","us","CA","San Francisco",471,37.78,-122.42,"America/Los_Angeles"
"R-Ladies Boulder","28789217","rladies-boulder","us","CO","Boulder",277,40.05,-105.21,"America/Denver"
"R-Ladies São Paulo","27456719","rladies-sao-paulo","br","","São Paulo",1429,-23.53,-46.63,"America/Sao_Paulo"
"R-Ladies Belgrade","25935651","rladies-belgrade","rs","","Belgrade",477,44.83,20.5,"Europe/Belgrade"
"R-Ladies Montreal","25925303","rladies-montreal","ca","QC","Montréal",610,45.53,-73.6,"America/Toronto"
"R-Ladies London, Ontario","21965959","rladies-ldnont","ca","ON","London",469,43.01,-81.18,"America/Toronto"
"R-Ladies Resistencia-Corrientes","28753666","rladies-resistencia-corrientes","ar","","Corrientes",206,-27.49,-58.81,"America/Argentina/Cordoba"
"R-Ladies Boston","20433637","rladies-boston","us","MA","Boston",964,42.36,-71.07,"America/New_York"
"R-Ladies Quito","25039212","rladies-quito","ec","","Quito",873,-0.19,-78.5,"America/Guayaquil"
"R-Ladies Santiago","25039094","rladies-scl","cl","","Santiago",2529,-33.46,-70.64,"America/Santiago"
"R-Ladies Milan","24752511","rladies-milan","it","MI","Milano",1153,45.46,9.19,"Europe/Rome"
"R-Ladies Washington D.C.","21510971","rladies-dc","us","DC","Washington",2750,38.91,-77.02,"America/New_York"
"R-Ladies New York","20346526","rladies-newyork","us","NY","New York",2878,40.75,-73.99,"America/New_York"
"R-Ladies Niterói","28706674","rladies-niteroi","br","","Niterói",764,-22.9,-43.13,"America/Sao_Paulo"
"R-Ladies Valparaíso","28530966","rladies-valparaiso","cl","","Valparaíso",441,-33.04,-71.64,"America/Santiago"
"R-Ladies Bari","28519562","rladies-bari","it","BA","Bari",183,41.13,16.87,"Europe/Rome"
"R-Ladies Brisbane","28448818","rladies-brisbane","au","","Brisbane",885,-27.46,153.02,"Australia/Brisbane"
"R-Ladies Bariloche","28441250","rladies-bariloche","ar","","San Carlos de Bariloche",498,-41.14,-71.32,"America/Argentina/Cordoba"
"R-Ladies Sydney","28436046","rladies-sydney","au","","Sydney",912,-33.87,151.21,"Australia/Sydney"
"R-Ladies Santa Fe","28424845","rladies-santa-fe","ar","","Santa Fe",226,-31.6,-60.69,"America/Argentina/Cordoba"
"R-Ladies Nijmegen","28393787","rladies-nijmegen","nl","","Nijmegen",348,51.84,5.85,"Europe/Amsterdam"
"R-Ladies Guayaquil","28062692","rladies-guayaquil","ec","","Guayaquil",1043,-2.21,-79.9,"America/Guayaquil"
"R-Ladies Porto Alegre","26434176","rladies-porto-alegre","br","","Porto Alegre",370,-30.04,-51.22,"America/Sao_Paulo"
"R-Ladies East Lansing","26829576","rladies-east-lansing","us","MI","East Lansing",864,42.65,-84.49,"America/New_York"
"R-Ladies Rotterdam","26792997","rladies-rotterdam","nl","","Rotterdam",503,51.93,4.48,"Europe/Amsterdam"
"R-Ladies Lausanne","26765765","rladies-lausanne","ch","","Lausanne",315,46.52,6.62,"Europe/Zurich"
"R-Ladies Copenhagen","26653718","rladies-copenhagen","dk","","Copenhagen",466,55.68,12.57,"Europe/Copenhagen"
"R-Ladies Auckland","26653882","rladies-auckland","nz","","Auckland",799,-36.85,174.76,"Pacific/Auckland"
"R-Ladies Cambridge","26556368","rladies-cambridge","gb","C3","Cambridge",316,52.2,0.11,"Europe/London"
"R-Ladies Amsterdam","27443387","rladies-amsterdam","nl","","Amsterdam",1186,52.37,4.89,"Europe/Amsterdam"
"R-Ladies Cotonou","27986524","rladies-cotonou","bj","","Cotonou",41,6.36,2.44,"Africa/Lagos"
"R-Ladies Seattle","26537030","rladies-seattle","us","WA","Seattle",1171,47.61,-122.33,"America/Los_Angeles"
"R-Ladies Addis Ababa","27902133","rladies-addis-ababa","et","","Addis Abeba",603,9.03,38.74,"Africa/Nairobi"
"R-Ladies Irvine","27819387","rladies-irvine","us","CA","Irvine",635,33.65,-117.84,"America/Los_Angeles"
"R-Ladies Tampa","27797804","rladies-tampa","us","FL","Tampa",316,27.98,-82.34,"America/New_York"
"R-Ladies Dallas","27724373","rladies-dallas","us","TX","Dallas",763,32.79,-96.8,"America/Chicago"
"R-Ladies Johannesburg","27651490","rladies-johannesburg","za","","Johannesburg",1137,-26.19,28.04,"Africa/Johannesburg"
"R-Ladies Oslo","27651457","rladies-oslo","no","","Oslo",577,59.91,10.75,"Europe/Oslo"
"R-Ladies Baltimore","27651413","rladies-baltimore","us","MD","Baltimore",1168,39.29,-76.62,"America/New_York"
"R-Ladies Mendoza","27651345","rladies-mendoza","ar","","Mendoza",320,-32.89,-68.83,"America/Argentina/Mendoza"
"R-Ladies Santa Barbara","27283931","rladies-santa-barbara","us","CA","Santa Barbara",588,34.42,-119.71,"America/Los_Angeles"
"R-Ladies Lima","27269070","rladies-lima","pe","","Lima",1945,-12.07,-77.05,"America/Lima"
"R-Ladies Atlanta","26871250","rladies-atlanta","us","GA","Atlanta",311,33.86,-84.4,"America/New_York"
"R-Ladies Paris","20443056","rladies-paris","fr","","Paris",877,48.86,2.34,"Europe/Paris"
"R-Ladies Los Angeles","20382018","rladies-la","us","CA","Los Angeles",635,34.07,-118.45,"America/Los_Angeles"
"R-Ladies San Francisco","5190472","rladies-san-francisco","us","CA","San Francisco",1706,37.79,-122.4,"America/Los_Angeles"
